X,country_code,recent_cases,recent_sequences,population_size,recent_omicron_cases,percent_sequences_omicron_30d,percent_of_recent_cases_sequenced,per_capita_seq_rate,max_prevalence_variant_pct,max_prevalence_variant_pct_log10
157,OMN,278,0,5223376,0,NA,0,0,100,2
158,PAK,12020,55,225199929,0,0,0.45757071547421,0.0244227430462467,5.30110549512538,0.7243664470287158
159,PAN,4908,0,4381583,0,NA,0,0,100,2
160,PCN,0,0,47,0,NA,NA,0,100,2
161,PER,34199,132,33359415,0,0,0.385976198134448,0.395690392052738,2.24393484894067,0.3510102433344303
162,PHL,51864,0,111046910,0,NA,0,0,100,2
163,PLW,0,0,18174,0,NA,NA,0,100,2
164,PNG,5921,0,9119005,0,NA,0,0,100,2
165,POL,499534,2630,37797000,0,0,0.526490689322448,6.95822419768765,0.113841321643648,-0.9437000709419421
166,PRT,53730,938,10167923,0,0,1.74576586636888,9.22508952910049,0.318864985139511,-0.49639316841962683
167,PRY,1661,0,7219641,0,NA,0,0,100,2
168,PSE,6482,0,5222756,0,NA,0,0,100,2
169,PYF,0,0,282534,0,NA,NA,0,100,2
170,QAT,4081,0,2930524,0,NA,0,0,100,2
171,REU,0,80,NA,0,0,Inf,NA,3.67541977799823,0.5653069480071516
172,ROU,148448,100,19127772,0,0,0.0673636559603363,0.522800041740355,2.95130496070399,0.4700140878151058
173,RUS,1104630,0,145912022,0,NA,0,0,100,2
174,RWA,702,0,13276517,0,NA,0,0,100,2
175,SAU,1165,0,35340680,0,NA,0,0,100,2
176,SDN,1623,0,44909351,0,NA,0,0,100,2
177,SEN,76,5,17196308,0,0,6.57894736842105,0.0290760086409246,45.0719728346941,1.65390656788837
178,SGP,70284,825,5453600,0,0,1.17380911729554,15.1276221211677,0.362460583453106,-0.4407392148021345
179,SHN,0,0,6095,0,NA,NA,0,100,2
180,SLB,0,0,703995,0,NA,NA,0,100,2
181,SLE,4,0,8141343,0,NA,0,0,100,2
182,SLV,6381,0,6518500,0,NA,0,0,100,2
183,SMR,383,0,34010,0,NA,0,0,100,2
184,SOM,1018,0,16359500,0,NA,0,0,100,2
185,SRB,118574,0,6871547,0,NA,0,0,100,2
186,SSD,356,0,11381377,0,NA,0,0,100,2
187,STP,21,0,223364,0,NA,0,0,100,2
188,SUR,1861,0,591798,0,NA,0,0,100,2
189,SVK,264928,775,NA,0,0,0.292532310665539,NA,0.385799972062517,-0.41363780814131823
190,SVN,86170,0,2078723,0,NA,0,0,100,2
191,SWE,27336,4361,10160159,0,0,15.9533216271583,42.9225566253441,0.0686701116588639,-1.1632322464344094
192,SWZ,135,0,1172369,0,NA,0,0,100,2
193,SXM,0,0,NA,0,NA,NA,NA,100,2
194,SYC,954,0,98910,0,NA,0,0,100,2
195,SYR,5079,0,18275704,0,NA,0,0,100,2
196,TCA,0,0,39226,0,NA,NA,0,100,2
197,TCD,38,0,16914985,0,NA,0,0,100,2
198,TGO,187,0,8478242,0,NA,0,0,100,2
199,THA,212872,64,69950844,0,0,0.0300650155962268,0.0914928203010674,4.57297023307625,0.6601983744283961
200,TJK,7,0,9749625,0,NA,0,0,100,2
201,TKL,0,0,1368,0,NA,NA,0,100,2
202,TKM,0,0,6117933,0,NA,NA,0,100,2
203,TLS,0,0,NA,0,NA,NA,NA,100,2
204,TON,0,0,106759,0,NA,NA,0,100,2
205,TTO,13305,0,1403374,0,NA,0,0,100,2
206,TUN,4940,0,11935764,0,NA,0,0,100,2
207,TUR,762111,2282,85042736,0,0,0.299431447650014,2.68335675371498,0.131190481411692,-0.882097674261742
208,TUV,0,0,11925,0,NA,NA,0,100,2
209,TWN,189,0,23855008,0,NA,0,0,100,2
210,TZA,107,0,61498438,0,NA,0,0,100,2
211,UGA,1451,0,47123533,0,NA,0,0,100,2
212,UKR,576546,0,43466822,0,NA,0,0,100,2
213,URY,5894,0,3485152,0,NA,0,0,100,2
214,USA,2284505,64283,332915074,0,0,2.81386996307734,19.3091286698541,0.00466011615933848,-2.3316032578312473
215,UZB,7536,0,33935765,0,NA,0,0,100,2
216,VAT,0,0,812,0,NA,NA,0,100,2
217,VCT,549,0,111269,0,NA,0,0,100,2
218,VEN,26309,0,28704947,0,NA,0,0,100,2
219,VGB,0,0,30423,0,NA,NA,0,100,2
220,VNM,299964,0,98168829,0,NA,0,0,100,2
221,VUT,0,0,314464,0,NA,NA,0,100,2
222,WLF,0,0,NA,0,NA,NA,NA,100,2
223,WSM,0,0,200144,0,NA,NA,0,100,2
224,YEM,214,0,30490639,0,NA,0,0,100,2
225,ZAF,21231,144,60041996,99,0.6875,0.678253497244595,0.239832133495362,2.05887922994958,0.3136308724535099
226,ZMB,441,0,18920657,0,NA,0,0,100,2
227,ZWE,1025,0,15092171,0,NA,0,0,100,2
228,NA,0,0,NA,0,NA,NA,NA,100,2
